MasterStart: System: bt-t025,,Device: realsense,,Camera: True,,Uname: uname_result(system='Linux', node='bt-t025', release='5.10.103-v7l+', version='#1529 SMP Tue Mar 8 12:24:00 GMT 2022', machine='armv7l', processor=''),,TankID: t025,,ProjectID: MC_s17_tr1_BowerBuilding,,AnalysisID: MC_multi
MasterRecordInitialStart: Time: 2023-04-13 13:21:57.305000
PrepFiles: FirstDepth: PrepFiles/FirstDepth.npy,,LastDepth: PrepFiles/LastDepth.npy,,PiCameraRGB: PiCameraRGB.jpg,,DepthRGB: DepthRGB.jpg
PiCameraSettings: AWB_Gains: (Fraction(119, 64), Fraction(193, 128)),,AWB_Mode: auto,,AnalogGain: 193/64,,Brightness: 50,,ClockMode: reset,,Contrast: 0,,Crop: (0.0, 0.0, 1.0, 1.0),,DigitalGain: 257/256,,ExposureCompensation: 0,,ExposureMode: auto,,ExposureSpeed: 33243,,FrameRate: 30,,ImageDenoise: True,,MeterMode: average,,RawFormat: yuv,,Resolution: 1296x972,,Saturation: 0,,SensorMode: 0,,Sharpness: 0,,ShutterSpeed: 0,,VideoDenoise: True,,VideoStabilization: False
DiagnoseSpeed: Rate: 5.9
FirstFrameCaptured: FirstFrame: Frames/FirstFrame.npy,,GoodDataCount: Frames/FirstDataCount.npy,,StdevCount: Frames/StdevCount.npy,,Units: cm
PiCameraStarted: FrameRate: 30,,Resolution: 1296x972,,Time: 2023-04-13 13:22:19.989629,,VideoFile: Videos/0001_vid.h264,,PicFile: Videos/0001_pic.jpg
FrameCaptured: NpyFile: Frames/Frame_000001.npy,,PicFile: Frames/Frame_000001.jpg,,Time: 2023-04-13 13:27:19.698781,,NFrames: 31,,AvgMed: 53.29,,AvgStd: 0.08,,GP: 259159,,AllPixelsBad: 4718775,,AllPixelsGood: 7569225,,LOF: True,,Temperature: 66.705,,HardDriveUsage: 32.3,,CPUUsage: 2.7,,RAMUsage: 11.9
FrameCaptured: NpyFile: Frames/Frame_000002.npy,,PicFile: Frames/Frame_000002.jpg,,Time: 2023-04-13 13:32:19.698781,,NFrames: 29,,AvgMed: 53.28,,AvgStd: 0.08,,GP: 259956,,AllPixelsBad: 5239842,,AllPixelsGood: 7048158,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 32.4,,CPUUsage: 22.1,,RAMUsage: 12.1
FrameCaptured: NpyFile: Frames/Frame_000003.npy,,PicFile: Frames/Frame_000003.jpg,,Time: 2023-04-13 13:37:19.698781,,NFrames: 29,,AvgMed: 53.28,,AvgStd: 0.07,,GP: 258609,,AllPixelsBad: 5184136,,AllPixelsGood: 7103864,,LOF: True,,Temperature: 69.627,,HardDriveUsage: 32.4,,CPUUsage: 22.0,,RAMUsage: 12.2
FrameCaptured: NpyFile: Frames/Frame_000004.npy,,PicFile: Frames/Frame_000004.jpg,,Time: 2023-04-13 13:42:19.698781,,NFrames: 30,,AvgMed: 53.33,,AvgStd: 0.07,,GP: 257992,,AllPixelsBad: 4973770,,AllPixelsGood: 7314230,,LOF: True,,Temperature: 69.627,,HardDriveUsage: 32.5,,CPUUsage: 22.1,,RAMUsage: 12.5
FrameCaptured: NpyFile: Frames/Frame_000005.npy,,PicFile: Frames/Frame_000005.jpg,,Time: 2023-04-13 13:47:19.698781,,NFrames: 29,,AvgMed: 53.32,,AvgStd: 0.07,,GP: 258293,,AllPixelsBad: 5172002,,AllPixelsGood: 7115998,,LOF: True,,Temperature: 69.627,,HardDriveUsage: 32.6,,CPUUsage: 22.2,,RAMUsage: 12.3
MasterRecordRestart: Time: 2023-04-13 14:44:45.126347
DiagnoseSpeed: Rate: 5.8
FirstFrameCaptured: FirstFrame: Frames/FirstFrame.npy,,GoodDataCount: Frames/FirstDataCount.npy,,StdevCount: Frames/StdevCount.npy,,Units: cm
PiCameraStarted: FrameRate: 30,,Resolution: 1296x972,,Time: 2023-04-13 14:45:09.135599,,VideoFile: Videos/0002_vid.h264,,PicFile: Videos/0002_pic.jpg
FrameCaptured: NpyFile: Frames/Frame_000006.npy,,PicFile: Frames/Frame_000006.jpg,,Time: 2023-04-13 14:50:08.847289,,NFrames: 31,,AvgMed: 53.09,,AvgStd: 0.10,,GP: 262335,,AllPixelsBad: 4743140,,AllPixelsGood: 7544860,,LOF: True,,Temperature: 67.192,,HardDriveUsage: 32.6,,CPUUsage: 22.3,,RAMUsage: 12.3
FrameCaptured: NpyFile: Frames/Frame_000007.npy,,PicFile: Frames/Frame_000007.jpg,,Time: 2023-04-13 14:55:08.847289,,NFrames: 29,,AvgMed: 53.15,,AvgStd: 0.09,,GP: 260598,,AllPixelsBad: 5190214,,AllPixelsGood: 7097786,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 32.7,,CPUUsage: 22.0,,RAMUsage: 12.5
FrameCaptured: NpyFile: Frames/Frame_000008.npy,,PicFile: Frames/Frame_000008.jpg,,Time: 2023-04-13 15:00:08.847289,,NFrames: 29,,AvgMed: 53.09,,AvgStd: 0.08,,GP: 260450,,AllPixelsBad: 5171215,,AllPixelsGood: 7116785,,LOF: True,,Temperature: 69.627,,HardDriveUsage: 32.8,,CPUUsage: 22.1,,RAMUsage: 12.6
FrameCaptured: NpyFile: Frames/Frame_000009.npy,,PicFile: Frames/Frame_000009.jpg,,Time: 2023-04-13 15:05:08.847289,,NFrames: 30,,AvgMed: 53.13,,AvgStd: 0.08,,GP: 260897,,AllPixelsBad: 4930061,,AllPixelsGood: 7357939,,LOF: True,,Temperature: 69.627,,HardDriveUsage: 32.8,,CPUUsage: 22.3,,RAMUsage: 12.6
FrameCaptured: NpyFile: Frames/Frame_000010.npy,,PicFile: Frames/Frame_000010.jpg,,Time: 2023-04-13 15:10:08.847289,,NFrames: 29,,AvgMed: 53.13,,AvgStd: 0.10,,GP: 262149,,AllPixelsBad: 5240236,,AllPixelsGood: 7047764,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 32.9,,CPUUsage: 22.2,,RAMUsage: 12.7
FrameCaptured: NpyFile: Frames/Frame_000011.npy,,PicFile: Frames/Frame_000011.jpg,,Time: 2023-04-13 15:15:08.847289,,NFrames: 29,,AvgMed: 53.12,,AvgStd: 0.10,,GP: 261708,,AllPixelsBad: 5278681,,AllPixelsGood: 7009319,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 33.0,,CPUUsage: 22.1,,RAMUsage: 12.7
FrameCaptured: NpyFile: Frames/Frame_000012.npy,,PicFile: Frames/Frame_000012.jpg,,Time: 2023-04-13 15:20:08.847289,,NFrames: 30,,AvgMed: 53.11,,AvgStd: 0.09,,GP: 261457,,AllPixelsBad: 4964377,,AllPixelsGood: 7323623,,LOF: True,,Temperature: 70.114,,HardDriveUsage: 33.0,,CPUUsage: 22.4,,RAMUsage: 12.8
FrameCaptured: NpyFile: Frames/Frame_000013.npy,,PicFile: Frames/Frame_000013.jpg,,Time: 2023-04-13 15:25:08.847289,,NFrames: 29,,AvgMed: 53.12,,AvgStd: 0.09,,GP: 261610,,AllPixelsBad: 5244008,,AllPixelsGood: 7043992,,LOF: True,,Temperature: 70.601,,HardDriveUsage: 33.1,,CPUUsage: 22.5,,RAMUsage: 12.9
FrameCaptured: NpyFile: Frames/Frame_000014.npy,,PicFile: Frames/Frame_000014.jpg,,Time: 2023-04-13 15:30:08.847289,,NFrames: 29,,AvgMed: 53.11,,AvgStd: 0.09,,GP: 261934,,AllPixelsBad: 5211085,,AllPixelsGood: 7076915,,LOF: True,,Temperature: 69.627,,HardDriveUsage: 33.1,,CPUUsage: 22.4,,RAMUsage: 13.0
FrameCaptured: NpyFile: Frames/Frame_000015.npy,,PicFile: Frames/Frame_000015.jpg,,Time: 2023-04-13 15:35:08.847289,,NFrames: 30,,AvgMed: 53.08,,AvgStd: 0.09,,GP: 261339,,AllPixelsBad: 4958241,,AllPixelsGood: 7329759,,LOF: True,,Temperature: 70.601,,HardDriveUsage: 33.2,,CPUUsage: 21.9,,RAMUsage: 13.1
FrameCaptured: NpyFile: Frames/Frame_000016.npy,,PicFile: Frames/Frame_000016.jpg,,Time: 2023-04-13 15:40:08.847289,,NFrames: 29,,AvgMed: 53.08,,AvgStd: 0.08,,GP: 260451,,AllPixelsBad: 5199457,,AllPixelsGood: 7088543,,LOF: True,,Temperature: 70.114,,HardDriveUsage: 33.3,,CPUUsage: 21.9,,RAMUsage: 13.0
FrameCaptured: NpyFile: Frames/Frame_000017.npy,,PicFile: Frames/Frame_000017.jpg,,Time: 2023-04-13 15:45:08.847289,,NFrames: 30,,AvgMed: 53.09,,AvgStd: 0.08,,GP: 260317,,AllPixelsBad: 4931194,,AllPixelsGood: 7356806,,LOF: True,,Temperature: 69.627,,HardDriveUsage: 33.3,,CPUUsage: 22.0,,RAMUsage: 12.9
FrameCaptured: NpyFile: Frames/Frame_000018.npy,,PicFile: Frames/Frame_000018.jpg,,Time: 2023-04-13 15:50:08.847289,,NFrames: 29,,AvgMed: 53.11,,AvgStd: 0.08,,GP: 260708,,AllPixelsBad: 5211065,,AllPixelsGood: 7076935,,LOF: True,,Temperature: 69.627,,HardDriveUsage: 33.4,,CPUUsage: 22.0,,RAMUsage: 12.9
FrameCaptured: NpyFile: Frames/Frame_000019.npy,,PicFile: Frames/Frame_000019.jpg,,Time: 2023-04-13 15:55:08.847289,,NFrames: 29,,AvgMed: 53.10,,AvgStd: 0.08,,GP: 261265,,AllPixelsBad: 5212065,,AllPixelsGood: 7075935,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 33.4,,CPUUsage: 22.0,,RAMUsage: 12.9
FrameCaptured: NpyFile: Frames/Frame_000020.npy,,PicFile: Frames/Frame_000020.jpg,,Time: 2023-04-13 16:00:08.847289,,NFrames: 30,,AvgMed: 53.12,,AvgStd: 0.07,,GP: 261055,,AllPixelsBad: 4925449,,AllPixelsGood: 7362551,,LOF: True,,Temperature: 70.114,,HardDriveUsage: 33.5,,CPUUsage: 21.9,,RAMUsage: 12.9
FrameCaptured: NpyFile: Frames/Frame_000021.npy,,PicFile: Frames/Frame_000021.jpg,,Time: 2023-04-13 16:05:08.847289,,NFrames: 29,,AvgMed: 53.12,,AvgStd: 0.08,,GP: 260635,,AllPixelsBad: 5204767,,AllPixelsGood: 7083233,,LOF: True,,Temperature: 71.088,,HardDriveUsage: 33.6,,CPUUsage: 22.1,,RAMUsage: 12.9
FrameCaptured: NpyFile: Frames/Frame_000022.npy,,PicFile: Frames/Frame_000022.jpg,,Time: 2023-04-13 16:10:08.847289,,NFrames: 29,,AvgMed: 53.12,,AvgStd: 0.09,,GP: 260633,,AllPixelsBad: 5320990,,AllPixelsGood: 6967010,,LOF: True,,Temperature: 70.114,,HardDriveUsage: 33.6,,CPUUsage: 22.2,,RAMUsage: 12.9
FrameCaptured: NpyFile: Frames/Frame_000023.npy,,PicFile: Frames/Frame_000023.jpg,,Time: 2023-04-13 16:15:08.847289,,NFrames: 30,,AvgMed: 53.12,,AvgStd: 0.08,,GP: 259496,,AllPixelsBad: 5000133,,AllPixelsGood: 7287867,,LOF: True,,Temperature: 70.114,,HardDriveUsage: 33.7,,CPUUsage: 22.2,,RAMUsage: 12.9
FrameCaptured: NpyFile: Frames/Frame_000024.npy,,PicFile: Frames/Frame_000024.jpg,,Time: 2023-04-13 16:20:08.847289,,NFrames: 29,,AvgMed: 53.13,,AvgStd: 0.07,,GP: 259967,,AllPixelsBad: 5200441,,AllPixelsGood: 7087559,,LOF: True,,Temperature: 70.601,,HardDriveUsage: 33.8,,CPUUsage: 22.3,,RAMUsage: 12.9
