MasterStart: System: bt-t041,,Device: realsense,,Camera: True,,Uname: uname_result(system='Linux', node='bt-t041', release='5.10.103-v7l+', version='#1529 SMP Tue Mar 8 12:24:00 GMT 2022', machine='armv7l', processor=''),,TankID: t041,,ProjectID: MC_s29_tr4_BowerBuilding,,AnalysisID: MC_multi
MasterRecordInitialStart: Time: 2023-09-27 10:10:51.287465
PrepFiles: FirstDepth: PrepFiles/FirstDepth.npy,,LastDepth: PrepFiles/LastDepth.npy,,PiCameraRGB: PiCameraRGB.jpg,,DepthRGB: DepthRGB.jpg
PiCameraSettings: AWB_Gains: (Fraction(203, 128), Fraction(477, 256)),,AWB_Mode: auto,,AnalogGain: 979/256,,Brightness: 50,,ClockMode: reset,,Contrast: 0,,Crop: (0.0, 0.0, 1.0, 1.0),,DigitalGain: 129/128,,ExposureCompensation: 0,,ExposureMode: auto,,ExposureSpeed: 33243,,FrameRate: 30,,ImageDenoise: True,,MeterMode: average,,RawFormat: yuv,,Resolution: 1296x972,,Saturation: 0,,SensorMode: 0,,Sharpness: 0,,ShutterSpeed: 0,,VideoDenoise: True,,VideoStabilization: False
DiagnoseSpeed: Rate: 5.7
FirstFrameCaptured: FirstFrame: Frames/FirstFrame.npy,,GoodDataCount: Frames/FirstDataCount.npy,,StdevCount: Frames/StdevCount.npy,,Units: cm
PiCameraStarted: FrameRate: 30,,Resolution: 1296x972,,Time: 2023-09-27 10:11:14.903010,,VideoFile: Videos/0001_vid.h264,,PicFile: Videos/0001_pic.jpg
FrameCaptured: NpyFile: Frames/Frame_000001.npy,,PicFile: Frames/Frame_000001.jpg,,Time: 2023-09-27 10:16:14.543245,,NFrames: 31,,AvgMed: 55.09,,AvgStd: 0.10,,GP: 275640,,AllPixelsBad: 4437359,,AllPixelsGood: 7850641,,LOF: True,,Temperature: 66.705,,HardDriveUsage: 0.0,,CPUUsage: 0.3,,RAMUsage: 10.7
FrameCaptured: NpyFile: Frames/Frame_000002.npy,,PicFile: Frames/Frame_000002.jpg,,Time: 2023-09-27 10:21:14.543245,,NFrames: 29,,AvgMed: 55.08,,AvgStd: 0.10,,GP: 274946,,AllPixelsBad: 4942011,,AllPixelsGood: 7345989,,LOF: True,,Temperature: 67.192,,HardDriveUsage: 0.1,,CPUUsage: 22.1,,RAMUsage: 10.7
FrameCaptured: NpyFile: Frames/Frame_000003.npy,,PicFile: Frames/Frame_000003.jpg,,Time: 2023-09-27 10:26:14.543245,,NFrames: 29,,AvgMed: 55.05,,AvgStd: 0.09,,GP: 275336,,AllPixelsBad: 4891437,,AllPixelsGood: 7396563,,LOF: True,,Temperature: 68.653,,HardDriveUsage: 0.1,,CPUUsage: 22.0,,RAMUsage: 10.8
FrameCaptured: NpyFile: Frames/Frame_000004.npy,,PicFile: Frames/Frame_000004.jpg,,Time: 2023-09-27 10:31:14.543245,,NFrames: 30,,AvgMed: 55.06,,AvgStd: 0.08,,GP: 274825,,AllPixelsBad: 4609101,,AllPixelsGood: 7678899,,LOF: True,,Temperature: 68.653,,HardDriveUsage: 0.1,,CPUUsage: 21.7,,RAMUsage: 10.8
FrameCaptured: NpyFile: Frames/Frame_000005.npy,,PicFile: Frames/Frame_000005.jpg,,Time: 2023-09-27 10:36:14.543245,,NFrames: 29,,AvgMed: 55.08,,AvgStd: 0.08,,GP: 274022,,AllPixelsBad: 4886962,,AllPixelsGood: 7401038,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 0.2,,CPUUsage: 22.0,,RAMUsage: 10.8
FrameCaptured: NpyFile: Frames/Frame_000006.npy,,PicFile: Frames/Frame_000006.jpg,,Time: 2023-09-27 10:41:14.543245,,NFrames: 30,,AvgMed: 55.05,,AvgStd: 0.08,,GP: 273902,,AllPixelsBad: 4627207,,AllPixelsGood: 7660793,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 0.2,,CPUUsage: 21.8,,RAMUsage: 10.8
FrameCaptured: NpyFile: Frames/Frame_000007.npy,,PicFile: Frames/Frame_000007.jpg,,Time: 2023-09-27 10:46:14.543245,,NFrames: 29,,AvgMed: 54.97,,AvgStd: 0.08,,GP: 274221,,AllPixelsBad: 4853158,,AllPixelsGood: 7434842,,LOF: True,,Temperature: 68.166,,HardDriveUsage: 0.2,,CPUUsage: 22.4,,RAMUsage: 10.9
FrameCaptured: NpyFile: Frames/Frame_000008.npy,,PicFile: Frames/Frame_000008.jpg,,Time: 2023-09-27 10:51:14.543245,,NFrames: 29,,AvgMed: 55.00,,AvgStd: 0.08,,GP: 273848,,AllPixelsBad: 4878664,,AllPixelsGood: 7409336,,LOF: True,,Temperature: 68.653,,HardDriveUsage: 0.3,,CPUUsage: 22.0,,RAMUsage: 11.0
FrameCaptured: NpyFile: Frames/Frame_000009.npy,,PicFile: Frames/Frame_000009.jpg,,Time: 2023-09-27 10:56:14.543245,,NFrames: 30,,AvgMed: 55.00,,AvgStd: 0.08,,GP: 273460,,AllPixelsBad: 4583676,,AllPixelsGood: 7704324,,LOF: True,,Temperature: 70.114,,HardDriveUsage: 0.3,,CPUUsage: 22.0,,RAMUsage: 11.1
FrameCaptured: NpyFile: Frames/Frame_000010.npy,,PicFile: Frames/Frame_000010.jpg,,Time: 2023-09-27 11:01:14.543245,,NFrames: 29,,AvgMed: 54.99,,AvgStd: 0.08,,GP: 273612,,AllPixelsBad: 4849804,,AllPixelsGood: 7438196,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 0.3,,CPUUsage: 22.0,,RAMUsage: 11.2
FrameCaptured: NpyFile: Frames/Frame_000011.npy,,PicFile: Frames/Frame_000011.jpg,,Time: 2023-09-27 11:06:14.543245,,NFrames: 29,,AvgMed: 54.99,,AvgStd: 0.08,,GP: 273505,,AllPixelsBad: 4853899,,AllPixelsGood: 7434101,,LOF: True,,Temperature: 68.653,,HardDriveUsage: 0.3,,CPUUsage: 22.0,,RAMUsage: 11.1
FrameCaptured: NpyFile: Frames/Frame_000012.npy,,PicFile: Frames/Frame_000012.jpg,,Time: 2023-09-27 11:11:14.543245,,NFrames: 30,,AvgMed: 54.98,,AvgStd: 0.08,,GP: 274279,,AllPixelsBad: 4572012,,AllPixelsGood: 7715988,,LOF: True,,Temperature: 70.114,,HardDriveUsage: 0.4,,CPUUsage: 21.6,,RAMUsage: 11.1
FrameCaptured: NpyFile: Frames/Frame_000013.npy,,PicFile: Frames/Frame_000013.jpg,,Time: 2023-09-27 11:16:14.543245,,NFrames: 29,,AvgMed: 54.99,,AvgStd: 0.08,,GP: 274174,,AllPixelsBad: 4847567,,AllPixelsGood: 7440433,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 0.4,,CPUUsage: 22.5,,RAMUsage: 11.1
FrameCaptured: NpyFile: Frames/Frame_000014.npy,,PicFile: Frames/Frame_000014.jpg,,Time: 2023-09-27 11:21:14.543245,,NFrames: 29,,AvgMed: 54.95,,AvgStd: 0.08,,GP: 275063,,AllPixelsBad: 4823365,,AllPixelsGood: 7464635,,LOF: True,,Temperature: 69.627,,HardDriveUsage: 0.4,,CPUUsage: 22.0,,RAMUsage: 11.1
FrameCaptured: NpyFile: Frames/Frame_000015.npy,,PicFile: Frames/Frame_000015.jpg,,Time: 2023-09-27 11:26:14.543245,,NFrames: 30,,AvgMed: 54.89,,AvgStd: 0.08,,GP: 275672,,AllPixelsBad: 4521537,,AllPixelsGood: 7766463,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 0.5,,CPUUsage: 22.0,,RAMUsage: 11.0
FrameCaptured: NpyFile: Frames/Frame_000016.npy,,PicFile: Frames/Frame_000016.jpg,,Time: 2023-09-27 11:31:14.543245,,NFrames: 29,,AvgMed: 54.90,,AvgStd: 0.08,,GP: 275633,,AllPixelsBad: 4748982,,AllPixelsGood: 7539018,,LOF: True,,Temperature: 70.114,,HardDriveUsage: 0.5,,CPUUsage: 22.2,,RAMUsage: 11.1
FrameCaptured: NpyFile: Frames/Frame_000017.npy,,PicFile: Frames/Frame_000017.jpg,,Time: 2023-09-27 11:36:14.543245,,NFrames: 29,,AvgMed: 54.89,,AvgStd: 0.08,,GP: 275561,,AllPixelsBad: 4758413,,AllPixelsGood: 7529587,,LOF: True,,Temperature: 69.627,,HardDriveUsage: 0.5,,CPUUsage: 22.2,,RAMUsage: 11.1
FrameCaptured: NpyFile: Frames/Frame_000018.npy,,PicFile: Frames/Frame_000018.jpg,,Time: 2023-09-27 11:41:14.543245,,NFrames: 30,,AvgMed: 54.90,,AvgStd: 0.08,,GP: 275725,,AllPixelsBad: 4457447,,AllPixelsGood: 7830553,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 0.6,,CPUUsage: 21.8,,RAMUsage: 11.1
