MasterStart: System: bt-t051,,Device: realsense,,Camera: True,,Uname: uname_result(system='Linux', node='bt-t051', release='5.10.17-v7l+', version='#1421 SMP Thu May 27 14:00:13 BST 2021', machine='armv7l', processor=''),,TankID: t051,,ProjectID: MC_s15_tr2_BowerBuilding,,AnalysisID: MC_multi
MasterRecordInitialStart: Time: 2023-08-08 16:44:14.836401
PrepFiles: FirstDepth: PrepFiles/FirstDepth.npy,,LastDepth: PrepFiles/LastDepth.npy,,PiCameraRGB: PiCameraRGB.jpg,,DepthRGB: DepthRGB.jpg
PiCameraSettings: AWB_Gains: (Fraction(443, 256), Fraction(425, 256)),,AWB_Mode: auto,,AnalogGain: 395/128,,Brightness: 50,,ClockMode: reset,,Contrast: 0,,Crop: (0.0, 0.0, 1.0, 1.0),,DigitalGain: 257/256,,ExposureCompensation: 0,,ExposureMode: auto,,ExposureSpeed: 33243,,FrameRate: 30,,ImageDenoise: True,,MeterMode: average,,RawFormat: yuv,,Resolution: 1296x972,,Saturation: 0,,SensorMode: 0,,Sharpness: 0,,ShutterSpeed: 0,,VideoDenoise: True,,VideoStabilization: False
DiagnoseSpeed: Rate: 5.8
FirstFrameCaptured: FirstFrame: Frames/FirstFrame.npy,,GoodDataCount: Frames/FirstDataCount.npy,,StdevCount: Frames/StdevCount.npy,,Units: cm
PiCameraStarted: FrameRate: 30,,Resolution: 1296x972,,Time: 2023-08-08 16:44:37.572506,,VideoFile: Videos/0001_vid.h264,,PicFile: Videos/0001_pic.jpg
FrameCaptured: NpyFile: Frames/Frame_000013.npy,,PicFile: Frames/Frame_000013.jpg,,Time: 2023-08-08 17:49:37.201450,,NFrames: 30,,AvgMed: 52.82,,AvgStd: 0.05,,GP: 275035,,AllPixelsBad: 4369726,,AllPixelsGood: 7918274,,LOF: True,,Temperature: 73.523,,HardDriveUsage: 0.4,,CPUUsage: 21.8,,RAMUsage: 12.7
FrameCaptured: NpyFile: Frames/Frame_000014.npy,,PicFile: Frames/Frame_000014.jpg,,Time: 2023-08-08 17:54:37.201450,,NFrames: 29,,AvgMed: 52.83,,AvgStd: 0.05,,GP: 274896,,AllPixelsBad: 4636533,,AllPixelsGood: 7651467,,LOF: True,,Temperature: 74.01,,HardDriveUsage: 0.4,,CPUUsage: 21.9,,RAMUsage: 12.7
FrameCaptured: NpyFile: Frames/Frame_000015.npy,,PicFile: Frames/Frame_000015.jpg,,Time: 2023-08-08 17:59:37.201450,,NFrames: 29,,AvgMed: 52.82,,AvgStd: 0.05,,GP: 274826,,AllPixelsBad: 4664290,,AllPixelsGood: 7623710,,LOF: True,,Temperature: 74.984,,HardDriveUsage: 0.5,,CPUUsage: 21.7,,RAMUsage: 12.7
FrameCaptured: NpyFile: Frames/Frame_000016.npy,,PicFile: Frames/Frame_000016.jpg,,Time: 2023-08-08 18:04:37.201450,,NFrames: 30,,AvgMed: 52.83,,AvgStd: 0.05,,GP: 274655,,AllPixelsBad: 4375587,,AllPixelsGood: 7912413,,LOF: False,,Temperature: 74.497,,HardDriveUsage: 0.5,,CPUUsage: 21.7,,RAMUsage: 12.7
PiCameraStopped: Time: 2023-08-08 18:04:56.269113,, File: Videos/0001_vid.h264
['python3', 'unit_scripts/process_video.py', '/media/pi/Elements/CichlidAnalyzer/__ProjectData/MC_multi/MC_s15_tr2_BowerBuilding/Videos/0001_vid.h264', '30', 'MC_s15_tr2_BowerBuilding', 'MC_multi']
ProcessVideoInfo: Task: Converting /media/pi/Elements/CichlidAnalyzer/__ProjectData/MC_multi/MC_s15_tr2_BowerBuilding/Videos/0001_vid.h264 into mp4,,Time: 2023-08-08 18:04:58.616811
ProcessVideoInfo: Task: Uploading /media/pi/Elements/CichlidAnalyzer/__ProjectData/MC_multi/MC_s15_tr2_BowerBuilding/Videos/0001_vid.mp4 to cloud,,Time: 2023-08-08 18:06:58.704572
FrameCaptured: NpyFile: Frames/Frame_000017.npy,,PicFile: Frames/Frame_000017.jpg,,Time: 2023-08-08 18:09:37.201450,,NFrames: 29,,AvgMed: 52.83,,AvgStd: 0.05,,GP: 274943,,AllPixelsBad: 4633182,,AllPixelsGood: 7654818,,LOF: False,,Temperature: 81.315,,HardDriveUsage: 1.0,,CPUUsage: 40.8,,RAMUsage: 15.9
ProcessVideoInfo: Task: Deleting /media/pi/Elements/CichlidAnalyzer/__ProjectData/MC_multi/MC_s15_tr2_BowerBuilding/Videos/0001_vid.mp4,,Time: 2023-08-08 18:11:15.066546
