MasterStart: System: bt-t039,,Device: realsense,,Camera: True,,Uname: uname_result(system='Linux', node='bt-t039', release='5.10.103-v7l+', version='#1529 SMP Tue Mar 8 12:24:00 GMT 2022', machine='armv7l', processor=''),,TankID: t039,,ProjectID: MC_s25_tr1_BowerBuilding,,AnalysisID: MC_multi
MasterRecordInitialStart: Time: 2023-06-09 13:35:05.296511
PrepFiles: FirstDepth: PrepFiles/FirstDepth.npy,,LastDepth: PrepFiles/LastDepth.npy,,PiCameraRGB: PiCameraRGB.jpg,,DepthRGB: DepthRGB.jpg
PiCameraSettings: AWB_Gains: (Fraction(7, 4), Fraction(411, 256)),,AWB_Mode: auto,,AnalogGain: 729/256,,Brightness: 50,,ClockMode: reset,,Contrast: 0,,Crop: (0.0, 0.0, 1.0, 1.0),,DigitalGain: 257/256,,ExposureCompensation: 0,,ExposureMode: auto,,ExposureSpeed: 33243,,FrameRate: 30,,ImageDenoise: True,,MeterMode: average,,RawFormat: yuv,,Resolution: 1296x972,,Saturation: 0,,SensorMode: 0,,Sharpness: 0,,ShutterSpeed: 0,,VideoDenoise: True,,VideoStabilization: False
DiagnoseSpeed: Rate: 5.2
FirstFrameCaptured: FirstFrame: Frames/FirstFrame.npy,,GoodDataCount: Frames/FirstDataCount.npy,,StdevCount: Frames/StdevCount.npy,,Units: cm
PiCameraStarted: FrameRate: 30,,Resolution: 1296x972,,Time: 2023-06-09 13:35:28.427104,,VideoFile: Videos/0001_vid.h264,,PicFile: Videos/0001_pic.jpg
FrameCaptured: NpyFile: Frames/Frame_000001.npy,,PicFile: Frames/Frame_000001.jpg,,Time: 2023-06-09 13:40:28.122518,,NFrames: 31,,AvgMed: 52.80,,AvgStd: 0.13,,GP: 295069,,AllPixelsBad: 3809281,,AllPixelsGood: 8478719,,LOF: True,,Temperature: 68.166,,HardDriveUsage: 0.1,,CPUUsage: 2.7,,RAMUsage: 10.1
FrameCaptured: NpyFile: Frames/Frame_000002.npy,,PicFile: Frames/Frame_000002.jpg,,Time: 2023-06-09 13:45:28.122518,,NFrames: 29,,AvgMed: 52.72,,AvgStd: 0.12,,GP: 295118,,AllPixelsBad: 4330382,,AllPixelsGood: 7957618,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 0.1,,CPUUsage: 21.9,,RAMUsage: 10.2
FrameCaptured: NpyFile: Frames/Frame_000003.npy,,PicFile: Frames/Frame_000003.jpg,,Time: 2023-06-09 13:50:28.122518,,NFrames: 29,,AvgMed: 52.69,,AvgStd: 0.11,,GP: 294630,,AllPixelsBad: 4267601,,AllPixelsGood: 8020399,,LOF: True,,Temperature: 71.088,,HardDriveUsage: 0.1,,CPUUsage: 21.8,,RAMUsage: 10.2
FrameCaptured: NpyFile: Frames/Frame_000004.npy,,PicFile: Frames/Frame_000004.jpg,,Time: 2023-06-09 13:55:28.122518,,NFrames: 30,,AvgMed: 52.69,,AvgStd: 0.11,,GP: 294856,,AllPixelsBad: 3987669,,AllPixelsGood: 8300331,,LOF: True,,Temperature: 71.575,,HardDriveUsage: 0.2,,CPUUsage: 21.9,,RAMUsage: 10.3
FrameCaptured: NpyFile: Frames/Frame_000005.npy,,PicFile: Frames/Frame_000005.jpg,,Time: 2023-06-09 14:00:28.122518,,NFrames: 29,,AvgMed: 52.69,,AvgStd: 0.11,,GP: 295536,,AllPixelsBad: 4286843,,AllPixelsGood: 8001157,,LOF: True,,Temperature: 71.575,,HardDriveUsage: 0.2,,CPUUsage: 21.7,,RAMUsage: 10.3
FrameCaptured: NpyFile: Frames/Frame_000006.npy,,PicFile: Frames/Frame_000006.jpg,,Time: 2023-06-09 14:05:28.122518,,NFrames: 29,,AvgMed: 52.69,,AvgStd: 0.11,,GP: 295701,,AllPixelsBad: 4292910,,AllPixelsGood: 7995090,,LOF: True,,Temperature: 71.575,,HardDriveUsage: 0.3,,CPUUsage: 21.9,,RAMUsage: 10.5
FrameCaptured: NpyFile: Frames/Frame_000007.npy,,PicFile: Frames/Frame_000007.jpg,,Time: 2023-06-09 14:10:28.122518,,NFrames: 30,,AvgMed: 52.67,,AvgStd: 0.10,,GP: 295428,,AllPixelsBad: 3999424,,AllPixelsGood: 8288576,,LOF: True,,Temperature: 72.062,,HardDriveUsage: 0.3,,CPUUsage: 21.9,,RAMUsage: 10.6
FrameCaptured: NpyFile: Frames/Frame_000008.npy,,PicFile: Frames/Frame_000008.jpg,,Time: 2023-06-09 14:15:28.122518,,NFrames: 29,,AvgMed: 52.70,,AvgStd: 0.10,,GP: 295310,,AllPixelsBad: 4279549,,AllPixelsGood: 8008451,,LOF: True,,Temperature: 71.088,,HardDriveUsage: 0.3,,CPUUsage: 21.8,,RAMUsage: 10.7
FrameCaptured: NpyFile: Frames/Frame_000009.npy,,PicFile: Frames/Frame_000009.jpg,,Time: 2023-06-09 14:20:28.122518,,NFrames: 29,,AvgMed: 52.73,,AvgStd: 0.10,,GP: 295795,,AllPixelsBad: 4259057,,AllPixelsGood: 8028943,,LOF: True,,Temperature: 70.601,,HardDriveUsage: 0.4,,CPUUsage: 21.8,,RAMUsage: 10.6
FrameCaptured: NpyFile: Frames/Frame_000010.npy,,PicFile: Frames/Frame_000010.jpg,,Time: 2023-06-09 14:25:28.122518,,NFrames: 30,,AvgMed: 52.74,,AvgStd: 0.10,,GP: 295963,,AllPixelsBad: 3947869,,AllPixelsGood: 8340131,,LOF: True,,Temperature: 71.088,,HardDriveUsage: 0.4,,CPUUsage: 22.2,,RAMUsage: 10.6
FrameCaptured: NpyFile: Frames/Frame_000011.npy,,PicFile: Frames/Frame_000011.jpg,,Time: 2023-06-09 14:30:28.122518,,NFrames: 29,,AvgMed: 52.74,,AvgStd: 0.09,,GP: 296071,,AllPixelsBad: 4220020,,AllPixelsGood: 8067980,,LOF: True,,Temperature: 71.088,,HardDriveUsage: 0.5,,CPUUsage: 21.7,,RAMUsage: 10.7
