MasterStart: System: bt-t047,,Device: realsense,,Camera: True,,Uname: uname_result(system='Linux', node='bt-t047', release='5.10.103-v7l+', version='#1529 SMP Tue Mar 8 12:24:00 GMT 2022', machine='armv7l', processor=''),,TankID: t047,,ProjectID: MC_s14_tr1_BowerBuilding,,AnalysisID: MC_multi
MasterRecordInitialStart: Time: 2023-03-30 11:09:16.793581
PrepFiles: FirstDepth: PrepFiles/FirstDepth.npy,,LastDepth: PrepFiles/LastDepth.npy,,PiCameraRGB: PiCameraRGB.jpg,,DepthRGB: DepthRGB.jpg
PiCameraSettings: AWB_Gains: (Fraction(473, 256), Fraction(387, 256)),,AWB_Mode: auto,,AnalogGain: 405/128,,Brightness: 50,,ClockMode: reset,,Contrast: 0,,Crop: (0.0, 0.0, 1.0, 1.0),,DigitalGain: 1,,ExposureCompensation: 0,,ExposureMode: auto,,ExposureSpeed: 33243,,FrameRate: 30,,ImageDenoise: True,,MeterMode: average,,RawFormat: yuv,,Resolution: 1296x972,,Saturation: 0,,SensorMode: 0,,Sharpness: 0,,ShutterSpeed: 0,,VideoDenoise: True,,VideoStabilization: False
DiagnoseSpeed: Rate: 5.4
FirstFrameCaptured: FirstFrame: Frames/FirstFrame.npy,,GoodDataCount: Frames/FirstDataCount.npy,,StdevCount: Frames/StdevCount.npy,,Units: cm
PiCameraStarted: FrameRate: 30,,Resolution: 1296x972,,Time: 2023-03-30 11:09:39.811946,,VideoFile: Videos/0001_vid.h264,,PicFile: Videos/0001_pic.jpg
FrameCaptured: NpyFile: Frames/Frame_000001.npy,,PicFile: Frames/Frame_000001.jpg,,Time: 2023-03-30 11:14:39.531752,,NFrames: 31,,AvgMed: 51.42,,AvgStd: 0.06,,GP: 273616,,AllPixelsBad: 4108989,,AllPixelsGood: 8179011,,LOF: True,,Temperature: 68.166,,HardDriveUsage: 0.0,,CPUUsage: 0.3,,RAMUsage: 12.0
FrameCaptured: NpyFile: Frames/Frame_000002.npy,,PicFile: Frames/Frame_000002.jpg,,Time: 2023-03-30 11:19:39.531752,,NFrames: 29,,AvgMed: 51.44,,AvgStd: 0.06,,GP: 273076,,AllPixelsBad: 4648691,,AllPixelsGood: 7639309,,LOF: True,,Temperature: 70.114,,HardDriveUsage: 0.1,,CPUUsage: 22.3,,RAMUsage: 12.2
FrameCaptured: NpyFile: Frames/Frame_000003.npy,,PicFile: Frames/Frame_000003.jpg,,Time: 2023-03-30 11:24:39.531752,,NFrames: 29,,AvgMed: 51.41,,AvgStd: 0.05,,GP: 273493,,AllPixelsBad: 4629665,,AllPixelsGood: 7658335,,LOF: True,,Temperature: 70.601,,HardDriveUsage: 0.1,,CPUUsage: 22.3,,RAMUsage: 12.2
FrameCaptured: NpyFile: Frames/Frame_000004.npy,,PicFile: Frames/Frame_000004.jpg,,Time: 2023-03-30 11:29:39.531752,,NFrames: 30,,AvgMed: 51.37,,AvgStd: 0.05,,GP: 274003,,AllPixelsBad: 4361856,,AllPixelsGood: 7926144,,LOF: True,,Temperature: 71.575,,HardDriveUsage: 0.1,,CPUUsage: 22.5,,RAMUsage: 12.4
FrameCaptured: NpyFile: Frames/Frame_000005.npy,,PicFile: Frames/Frame_000005.jpg,,Time: 2023-03-30 11:34:39.531752,,NFrames: 29,,AvgMed: 51.34,,AvgStd: 0.05,,GP: 274303,,AllPixelsBad: 4623088,,AllPixelsGood: 7664912,,LOF: True,,Temperature: 70.601,,HardDriveUsage: 0.2,,CPUUsage: 21.7,,RAMUsage: 12.4
FrameCaptured: NpyFile: Frames/Frame_000006.npy,,PicFile: Frames/Frame_000006.jpg,,Time: 2023-03-30 11:39:39.531752,,NFrames: 29,,AvgMed: 51.32,,AvgStd: 0.05,,GP: 274296,,AllPixelsBad: 4585976,,AllPixelsGood: 7702024,,LOF: True,,Temperature: 71.088,,HardDriveUsage: 0.2,,CPUUsage: 22.5,,RAMUsage: 12.5
FrameCaptured: NpyFile: Frames/Frame_000007.npy,,PicFile: Frames/Frame_000007.jpg,,Time: 2023-03-30 11:44:39.531752,,NFrames: 29,,AvgMed: 51.33,,AvgStd: 0.05,,GP: 274145,,AllPixelsBad: 4598541,,AllPixelsGood: 7689459,,LOF: True,,Temperature: 72.549,,HardDriveUsage: 0.2,,CPUUsage: 22.5,,RAMUsage: 12.5
FrameCaptured: NpyFile: Frames/Frame_000008.npy,,PicFile: Frames/Frame_000008.jpg,,Time: 2023-03-30 11:49:39.531752,,NFrames: 30,,AvgMed: 51.34,,AvgStd: 0.05,,GP: 274131,,AllPixelsBad: 4356882,,AllPixelsGood: 7931118,,LOF: True,,Temperature: 71.575,,HardDriveUsage: 0.3,,CPUUsage: 21.8,,RAMUsage: 12.6
FrameCaptured: NpyFile: Frames/Frame_000009.npy,,PicFile: Frames/Frame_000009.jpg,,Time: 2023-03-30 11:54:39.531752,,NFrames: 29,,AvgMed: 51.33,,AvgStd: 0.05,,GP: 273895,,AllPixelsBad: 4662566,,AllPixelsGood: 7625434,,LOF: True,,Temperature: 70.601,,HardDriveUsage: 0.3,,CPUUsage: 22.9,,RAMUsage: 12.7
FrameCaptured: NpyFile: Frames/Frame_000010.npy,,PicFile: Frames/Frame_000010.jpg,,Time: 2023-03-30 11:59:39.531752,,NFrames: 29,,AvgMed: 51.31,,AvgStd: 0.05,,GP: 274229,,AllPixelsBad: 4634050,,AllPixelsGood: 7653950,,LOF: True,,Temperature: 71.575,,HardDriveUsage: 0.3,,CPUUsage: 21.3,,RAMUsage: 12.6
FrameCaptured: NpyFile: Frames/Frame_000011.npy,,PicFile: Frames/Frame_000011.jpg,,Time: 2023-03-30 12:04:39.531752,,NFrames: 30,,AvgMed: 51.30,,AvgStd: 0.05,,GP: 274573,,AllPixelsBad: 4320056,,AllPixelsGood: 7967944,,LOF: True,,Temperature: 71.088,,HardDriveUsage: 0.3,,CPUUsage: 20.9,,RAMUsage: 12.8
FrameCaptured: NpyFile: Frames/Frame_000012.npy,,PicFile: Frames/Frame_000012.jpg,,Time: 2023-03-30 12:09:39.531752,,NFrames: 29,,AvgMed: 51.29,,AvgStd: 0.05,,GP: 274549,,AllPixelsBad: 4575819,,AllPixelsGood: 7712181,,LOF: True,,Temperature: 72.549,,HardDriveUsage: 0.4,,CPUUsage: 22.3,,RAMUsage: 12.7
FrameCaptured: NpyFile: Frames/Frame_000013.npy,,PicFile: Frames/Frame_000013.jpg,,Time: 2023-03-30 12:14:39.531752,,NFrames: 29,,AvgMed: 51.30,,AvgStd: 0.05,,GP: 274446,,AllPixelsBad: 4627344,,AllPixelsGood: 7660656,,LOF: True,,Temperature: 71.575,,HardDriveUsage: 0.4,,CPUUsage: 21.5,,RAMUsage: 12.6
FrameCaptured: NpyFile: Frames/Frame_000014.npy,,PicFile: Frames/Frame_000014.jpg,,Time: 2023-03-30 12:19:39.531752,,NFrames: 29,,AvgMed: 51.29,,AvgStd: 0.05,,GP: 274499,,AllPixelsBad: 4570966,,AllPixelsGood: 7717034,,LOF: True,,Temperature: 71.088,,HardDriveUsage: 0.4,,CPUUsage: 22.0,,RAMUsage: 12.6
FrameCaptured: NpyFile: Frames/Frame_000015.npy,,PicFile: Frames/Frame_000015.jpg,,Time: 2023-03-30 12:24:39.531752,,NFrames: 30,,AvgMed: 51.29,,AvgStd: 0.05,,GP: 274449,,AllPixelsBad: 4338840,,AllPixelsGood: 7949160,,LOF: True,,Temperature: 71.575,,HardDriveUsage: 0.5,,CPUUsage: 22.3,,RAMUsage: 12.7
FrameCaptured: NpyFile: Frames/Frame_000016.npy,,PicFile: Frames/Frame_000016.jpg,,Time: 2023-03-30 12:29:39.531752,,NFrames: 29,,AvgMed: 51.29,,AvgStd: 0.05,,GP: 274412,,AllPixelsBad: 4557801,,AllPixelsGood: 7730199,,LOF: True,,Temperature: 71.575,,HardDriveUsage: 0.5,,CPUUsage: 21.8,,RAMUsage: 12.6
